cname,mname,mdesc,mhash,line,inst,attr,event,vtype,freq,record,value1,seqnum1,thread1,value2,seqnum2,thread2,value3,seqnum3,thread3,value4,seqnum4,thread4,value5,seqnum5,thread5,value6,seqnum6,thread6,value7,seqnum7,thread7,value8,seqnum8,thread8,value9,seqnum9,thread9,value10,seqnum10,thread10,value11,seqnum11,thread11,value12,seqnum12,thread12,value13,seqnum13,thread13,value14,seqnum14,thread14,value15,seqnum15,thread15,value16,seqnum16,thread16,value17,seqnum17,thread17,value18,seqnum18,thread18,value19,seqnum19,thread19,value20,seqnum20,thread20,value21,seqnum21,thread21,value22,seqnum22,thread22,value23,seqnum23,thread23,value24,seqnum24,thread24,value25,seqnum25,thread25,value26,seqnum26,thread26,value27,seqnum27,thread27,value28,seqnum28,thread28,value29,seqnum29,thread29,value30,seqnum30,thread30,value31,seqnum31,thread31,value32,seqnum32,thread32
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,20,43,"owner=selogger/testdata/SimpleTarget,name=INDEX,type=I",PUT_STATIC_FIELD,int,1,1,2,71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,21,44,"null",LABEL,int,1,1,43,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,21,45,"null",LINE_NUMBER,void,1,1,0,73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,21,46,"varindex=3,name=values,type=[I",LOCAL_LOAD,object,1,1,[I@7e0b52e7,74,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,21,47,"owner=selogger/testdata/SimpleTarget,name=INDEX,type=I",GET_STATIC_FIELD,int,1,1,2,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,21,48,"varindex=4,name=v1,type=I",LOCAL_LOAD,int,1,1,300,76,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,21,49,"varindex=5,name=v2,type=I",LOCAL_LOAD,int,1,1,200,77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,21,51,"null",ARRAY_STORE,object,1,1,[I@7e0b52e7,78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,21,51,"null",ARRAY_STORE_INDEX,int,1,1,2,79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,21,51,"null",ARRAY_STORE_VALUE,int,1,1,500,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,22,52,"null",LABEL,int,1,1,51,81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,22,53,"null",LINE_NUMBER,void,1,1,0,82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,22,54,"owner=java/lang/System,name=out,type=Ljava/io/PrintStream;",GET_STATIC_FIELD,object,1,1,java.io.PrintStream@42420894,83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,22,55,"varindex=3,name=values,type=[I",LOCAL_LOAD,object,1,1,[I@7e0b52e7,84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,22,57,"null",ARRAY_LOAD,object,1,1,[I@7e0b52e7,85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,22,57,"null",ARRAY_LOAD_INDEX,int,1,1,0,86,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,22,57,"null",ARRAY_LOAD_RESULT,int,1,1,100,87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,22,58,"opcode=INVOKEVIRTUAL,owner=java/io/PrintStream,name=println,desc=(I)V,methodtype=instance",CALL,object,1,1,java.io.PrintStream@42420894,88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,22,58,"index=1,type=I",CALL_PARAM,int,1,1,100,89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,22,58,"type=V",CALL_RETURN,void,1,1,0,90,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,23,59,"null",LABEL,int,1,1,58,91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
